央视,#genre#
山东卫视,http://15.4.8.199:5678/gehua.php?id=sdhd
三沙卫视,http://15.4.8.199:5678/gehua.php?id=ssws
山西卫视,http://15.4.8.199:5678/gehua.php?id=sxiws
陕西卫视,http://15.4.8.199:5678/gehua.php?id=sxws
深圳卫视,http://15.4.8.199:5678/gehua.php?id=szhd
天津卫视,http://15.4.8.199:5678/gehua.php?id=tjhd
新疆卫视,http://15.4.8.199:5678/gehua.php?id=xjws
厦门卫视,http://15.4.8.199:5678/gehua.php?id=xmws
西藏卫视,http://15.4.8.199:5678/gehua.php?id=xzws
云南卫视,http://15.4.8.199:5678/gehua.php?id=ynws
浙江卫视,http://15.4.8.199:5678/gehua.php?id=zjhd
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8

内蒙古卫视,https://live.v1.mk/api/ghyx.php?id=NeiMengGuHD_2000
山西卫视,https://live.v1.mk/api/ghyx.php?id=ShanXiHD_2000
陕西卫视,https://live.v1.mk/api/ghyx.php?id=ShannXiHD_2000
云南卫视,https://live.v1.mk/api/ghyx.php?id=YunNanHD_2000
兵团卫视,https://live.v1.mk/api/ghyx.php?id=BTTVHD_2000
贵州卫视,https://live.v1.mk/api/ghyx.php?id=GuiZhouHD_2000
青海卫视,https://live.v1.mk/api/ghyx.php?id=QingHaiHD_2000
西藏卫视,https://live.v1.mk/api/ghyx.php?id=XiZangHD_2000
新疆卫视,https://live.v1.mk/api/ghyx.php?id=XinJiangHD_2000
甘肃卫视,https://live.v1.mk/api/ghyx.php?id=GanSuHD_2000
厦门卫视,https://live.v1.mk/api/ghyx.php?id=XiaMenHD_2000
宁夏卫视,https://live.v1.mk/api/ghyx.php?id=NingXiaHD_2000

东南卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/dongnanHD/__op/default/__f//index.m3u8
东方卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/shanghaiHD/__op/default/__f//index.m3u8
云南卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/yunnanSD/__op/default/__f//index.m3u8
北京卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/beijingHD/__op/default/__f//index.m3u8
吉林卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/jilinHD/__op/default/__f//index.m3u8
四川卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/sichuanHD/__op/default/__f//index.m3u8
天津卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/tianjinHD/__op/default/__f//index.m3u8
宁夏卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/ningxia/__op/default/__f//index.m3u8
安徽卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/anhuiSD/__op/default/__f//index.m3u8
山西卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/shanxiSD/__op/default/__f//index.m3u8
广东卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/guangdongHD/__op/default/__f//index.m3u8
广西卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/guangxiHD/__op/default/__f//index.m3u8
新疆卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/xinjiangSD/__op/default/__f//index.m3u8
江苏卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/jiangsuHD/__op/default/__f//index.m3u8
江西卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/jiangxiHD/__op/default/__f//index.m3u8
河北卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/hebeiSD/__op/default/__f//index.m3u8
河南卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/henanHD/__op/default/__f//index.m3u8
